"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 21:40:02 ICT 2024","Fri Mar 01 21:40:02 ICT 2024","3","","Swag Labs - Login: As a no_user, I should get error message","","","","",""
"passed","Fri Mar 01 21:41:32 ICT 2024","Fri Mar 01 21:41:34 ICT 2024","1686","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","When annisa login with ""visual_user"" credentials",""
"passed","Fri Mar 01 21:40:00 ICT 2024","Fri Mar 01 21:40:03 ICT 2024","3587","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Fri Mar 01 21:41:34 ICT 2024","Fri Mar 01 21:41:34 ICT 2024","16","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Then annisa should see visual User page",""
"passed","Tue Feb 27 13:06:27 ICT 2024","Tue Feb 27 13:06:31 ICT 2024","4022","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 20:43:33 ICT 2024","Tue Feb 27 20:43:33 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"passed","Fri Mar 01 21:41:53 ICT 2024","Fri Mar 01 21:41:53 ICT 2024","2","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","",""
"skipped","Sat Feb 24 21:34:20 ICT 2024","Sat Feb 24 21:34:20 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"passed","Fri Mar 01 21:41:29 ICT 2024","Fri Mar 01 21:41:29 ICT 2024","18","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","Then annisa should see problem page",""
"passed","Tue Feb 27 13:06:05 ICT 2024","Tue Feb 27 13:06:10 ICT 2024","4409","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:41:26 ICT 2024","Fri Mar 01 21:41:26 ICT 2024","285","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"broken","Sat Feb 24 21:33:21 ICT 2024","Sat Feb 24 21:33:21 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"broken","Tue Feb 27 13:07:26 ICT 2024","Tue Feb 27 13:07:26 ICT 2024","4","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credential",""
"passed","Tue Feb 27 20:44:22 ICT 2024","Tue Feb 27 20:44:26 ICT 2024","3895","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Given annisa is on the login page",""
"passed","Sat Feb 24 21:33:35 ICT 2024","Sat Feb 24 21:33:39 ICT 2024","3701","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:39:26 ICT 2024","Fri Mar 01 21:39:33 ICT 2024","7589","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:41:28 ICT 2024","Fri Mar 01 21:41:29 ICT 2024","1387","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","When annisa login with ""problem_user"" credentials",""
"passed","Fri Mar 01 21:41:43 ICT 2024","Fri Mar 01 21:41:44 ICT 2024","1108","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:41:48 ICT 2024","Fri Mar 01 21:41:48 ICT 2024","2","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","",""
"passed","Fri Mar 01 21:40:57 ICT 2024","Fri Mar 01 21:41:11 ICT 2024","14681","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 20:43:24 ICT 2024","Tue Feb 27 20:43:28 ICT 2024","4418","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:41:48 ICT 2024","Fri Mar 01 21:41:53 ICT 2024","5206","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","When annisa login with ""visual_user"" credentials",""
"passed","Sat Feb 24 21:33:39 ICT 2024","Sat Feb 24 21:33:39 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"skipped","Tue Feb 27 13:06:31 ICT 2024","Tue Feb 27 13:06:31 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Fri Mar 01 21:41:48 ICT 2024","Fri Mar 01 21:41:48 ICT 2024","523","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 13:07:26 ICT 2024","Tue Feb 27 13:07:26 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
"broken","Tue Feb 27 13:06:10 ICT 2024","Tue Feb 27 13:06:10 ICT 2024","3","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credential",""
"broken","Tue Feb 27 20:41:48 ICT 2024","Tue Feb 27 20:41:48 ICT 2024","4","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credential",""
"skipped","Tue Feb 27 13:07:26 ICT 2024","Tue Feb 27 13:07:26 ICT 2024","1","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"passed","Fri Mar 01 21:39:57 ICT 2024","Fri Mar 01 21:39:57 ICT 2024","182","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Fri Mar 01 21:41:26 ICT 2024","Fri Mar 01 21:41:26 ICT 2024","3","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
"passed","Fri Mar 01 21:40:02 ICT 2024","Fri Mar 01 21:40:02 ICT 2024","289","","Swag Labs - Login: As a no_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Username and password do not match any user in this service""",""
"passed","Fri Mar 01 21:39:57 ICT 2024","Fri Mar 01 21:39:57 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"passed","Tue Feb 27 20:44:31 ICT 2024","Tue Feb 27 20:44:31 ICT 2024","590","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"passed","Sat Feb 24 21:34:14 ICT 2024","Sat Feb 24 21:34:20 ICT 2024","6056","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Given annisa is on the login page",""
"broken","Sat Feb 24 21:33:21 ICT 2024","Sat Feb 24 21:33:21 ICT 2024","3","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credential",""
"passed","Fri Mar 01 21:41:43 ICT 2024","Fri Mar 01 21:41:43 ICT 2024","9","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
"passed","Fri Mar 01 21:41:34 ICT 2024","Fri Mar 01 21:41:34 ICT 2024","1","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","",""
"passed","Fri Mar 01 21:41:48 ICT 2024","Fri Mar 01 21:41:48 ICT 2024","21","","Swag Labs - Login: As a problem_user, i want to login successfully","","","","Then annisa should see problem page",""
"passed","Tue Feb 27 20:43:32 ICT 2024","Tue Feb 27 20:43:33 ICT 2024","1130","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Fri Mar 01 21:40:00 ICT 2024","Fri Mar 01 21:40:02 ICT 2024","1601","","Swag Labs - Login: As a no_user, I should get error message","","","","When annisa login with ""no_user"" credentials",""
"passed","Fri Mar 01 21:40:10 ICT 2024","Fri Mar 01 21:40:16 ICT 2024","6340","","Swag Labs - Login: As a no_user, I should get error message","","","","When annisa login with ""no_user"" credentials",""
"passed","Fri Mar 01 21:39:54 ICT 2024","Fri Mar 01 21:39:57 ICT 2024","3284","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credentials",""
"passed","Fri Mar 01 21:41:53 ICT 2024","Fri Mar 01 21:41:53 ICT 2024","17","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Then annisa should see visual User page",""
"passed","Tue Feb 27 20:44:26 ICT 2024","Tue Feb 27 20:44:31 ICT 2024","4269","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credentials",""
"passed","Fri Mar 01 21:41:30 ICT 2024","Fri Mar 01 21:41:32 ICT 2024","2833","","Swag Labs - Login: As a visual_user, i want to login successfully","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 20:44:31 ICT 2024","Tue Feb 27 20:44:31 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
"broken","Sat Feb 24 21:33:39 ICT 2024","Sat Feb 24 21:33:39 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credential",""
"broken","Tue Feb 27 20:41:59 ICT 2024","Tue Feb 27 20:41:59 ICT 2024","3","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credential",""
"passed","Fri Mar 01 21:41:14 ICT 2024","Fri Mar 01 21:41:22 ICT 2024","7618","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Given annisa is on the login page",""
"passed","Sat Feb 24 21:33:17 ICT 2024","Sat Feb 24 21:33:21 ICT 2024","4367","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:39:57 ICT 2024","Fri Mar 01 21:40:00 ICT 2024","2960","","Swag Labs - Login: As a no_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Fri Mar 01 21:41:11 ICT 2024","Fri Mar 01 21:41:41 ICT 2024","30153","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credentials",""
"broken","Tue Feb 27 13:06:31 ICT 2024","Tue Feb 27 13:06:31 ICT 2024","3","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credential",""
"passed","Tue Feb 27 13:07:14 ICT 2024","Tue Feb 27 13:07:26 ICT 2024","12215","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 13:06:10 ICT 2024","Tue Feb 27 13:06:10 ICT 2024","2","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"broken","Sat Feb 24 21:33:39 ICT 2024","Sat Feb 24 21:33:39 ICT 2024","1","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","Then annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"broken","Sat Feb 24 21:34:29 ICT 2024","Sat Feb 24 21:34:29 ICT 2024","3","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credential",""
"passed","Sat Feb 24 21:34:29 ICT 2024","Sat Feb 24 21:34:29 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
"passed","Fri Mar 01 21:40:03 ICT 2024","Fri Mar 01 21:40:03 ICT 2024","4","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"passed","Fri Mar 01 21:41:22 ICT 2024","Fri Mar 01 21:41:26 ICT 2024","3712","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credentials",""
"broken","Sat Feb 24 21:34:20 ICT 2024","Sat Feb 24 21:34:20 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","When annisa login with ""standard_user"" credential",""
"passed","Sat Feb 24 21:33:21 ICT 2024","Sat Feb 24 21:33:21 ICT 2024","3","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","",""
"passed","Fri Mar 01 21:41:41 ICT 2024","Fri Mar 01 21:41:43 ICT 2024","1276","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"skipped","Sat Feb 24 21:34:29 ICT 2024","Sat Feb 24 21:34:29 ICT 2024","1","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","Then annisa should see home page",""
"passed","Fri Mar 01 21:40:04 ICT 2024","Fri Mar 01 21:40:10 ICT 2024","6322","","Swag Labs - Login: As a no_user, I should get error message","","","","Given annisa is on the login page",""
"passed","Tue Feb 27 20:43:28 ICT 2024","Tue Feb 27 20:43:32 ICT 2024","3902","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credentials",""
"passed","Fri Mar 01 21:39:33 ICT 2024","Fri Mar 01 21:40:00 ICT 2024","26499","","Swag Labs - Login: As a locked_out_user, I should get error message","","","","When annisa login with ""locked_out_user"" credentials",""
"passed","Sat Feb 24 21:34:20 ICT 2024","Sat Feb 24 21:34:20 ICT 2024","2","","Swag Labs - Login: As a standard_user, I want to log in successfully","","","","",""
